Credits,Player Type,Player Name,Team,CricinfoKey
5.5,WK,Robin Minz,MI,NA
5.5,BAT,Raj Angad Bawa,MI,NA
5,BOWL,Vignesh Puthur,MI,NA
5.5,ALL,Satyanarayana Raju,MI,NA
5.5,BOWL,Ashwani Kumar,MI,NA
8,BAT,Tilak Varma,MI,NA
6,WK,KL Shrijith,MI,NA
7,BOWL,Mujeeb-ur-Rahman,MI,NA
7.5,WK,Ryan Rickelton,MI,NA
5,BOWL,Arjun Tendulkar,MI,NA
7.5,ALL,Will Jacks,MI,NA
9,ALL,Hardik Pandya,MI,NA
7.5,ALL,Mitchell Santner,MI,NA
6.5,BOWL,Reece Topley,MI,NA
6,ALL,Corbin Bosch,MI,NA
9,BOWL,Jasprit Bumrah,MI,NA
8.5,BOWL,Trent Boult,MI,NA
9,BAT,Suryakumar Yadav,MI,NA
8,BOWL,Deepak Chahar,MI,NA
6.5,BOWL,Karn Sharma,MI,NA
9,BAT,Rohit Sharma,MI,NA
6,ALL,Musheer Khan,PBKS,NA
5,BAT,Harnoor Singh Pannu,PBKS,NA
5.5,BAT,Pyla Avinash,PBKS,NA
5.5,ALL,Suryansh Shedge,PBKS,NA
6.5,BOWL,Harpreet Brar,PBKS,NA
6.5,BAT,Priyansh Arya,PBKS,NA
6,BOWL,Kuldeep Sen,PBKS,NA
8,ALL,Marco Jansen,PBKS,NA
7.5,BAT,Nehal Wadhera,PBKS,NA
7.5,WK,Prabhsimran Singh,PBKS,NA
7,ALL,Aaron Hardie,PBKS,NA
8.5,BOWL,Arshdeep Singh,PBKS,NA
7.5,ALL,Azmatullah Omarzai,PBKS,NA
6.5,WK,Vishnu Vinod,PBKS,NA
6.5,BOWL,Xavier Bartlett,PBKS,NA
7.5,BAT,Shashank Singh,PBKS,NA
7.5,BOWL,Lockie Ferguson,PBKS,NA
7.5,WK,Josh Inglis,PBKS,NA
7,BOWL,Vyshak Vijaykumar,PBKS,NA
6,BOWL,Pravin Dubey,PBKS,NA
6.5,BOWL,Yash Thakur,PBKS,NA
8.5,BAT,Shreyas Iyer,PBKS,NA
8,ALL,Marcus Stoinis,PBKS,NA
8.5,BOWL,Yuzvendra Chahal,PBKS,NA
8.5,ALL,Glenn Maxwell,PBKS,NA
5,BOWL,Abhinandan Singh,RCB,NA
5.5,BAT,Swastik Chikara,RCB,NA
6,ALL,Mohit Rathee,RCB,NA
6,BOWL,Suyash Sharma,RCB,NA
7,BAT,Jacob Bethell,RCB,NA
6.5,BOWL,Rasikh Salam,RCB,NA
7,BOWL,Yash Dayal,RCB,NA
6.5,ALL,Manoj Bhandage,RCB,NA
7.5,BOWL,Nuwan Thushara,RCB,NA
7,ALL,Romario Shepherd,RCB,NA
7.5,BAT,Tim David,RCB,NA
7,BAT,Devdutt Padikkal,RCB,NA
7.5,ALL,Krunal Pandya,RCB,NA
8,BAT,Rajat Patidar,RCB,NA
7.5,WK,Jitesh Sharma,RCB,NA
7.5,BOWL,Lungi Ngidi,RCB,NA
8.5,WK,Philip Salt,RCB,NA
8,ALL,Liam Livingstone,RCB,NA
8.5,BOWL,Josh Hazlewood,RCB,NA
8,BOWL,Bhuvneshwar Kumar,RCB,NA
7,ALL,Swapnil Singh,RCB,NA
9,BAT,Virat Kohli,RCB,NA
5,BAT,Vaibhav Suryavanshi,RR,NA
5,BOWL,Ashok Sharma,RR,NA
6,BOWL,Kwena Maphaka,RR,NA
5,WK,Kunal Singh Rathore,RR,NA
7,BOWL,Akash Madhwal,RR,NA
5.5,BAT,Shubham Dubey,RR,NA
6.5,ALL,Yudhvir Singh Charak,RR,NA
7.5,BOWL,Maheesh Theekshana,RR,NA
7.5,WK,Dhruv Jurel,RR,NA
6,BOWL,Kumar Kartikeya,RR,NA
9,BAT,Yashasvi Jaiswal,RR,NA
7,BOWL,FazalHaq Farooqi,RR,NA
8,ALL,Riyan Parag,RR,NA
7.5,BOWL,Tushar Deshpande,RR,NA
8,BOWL,Jofra Archer,RR,NA
8.5,ALL,Wanindu Hasaranga,RR,NA
7.5,ALL,Nitish Rana,RR,NA
7.5,BAT,Shimron Hetmyer,RR,NA
7.5,BOWL,Sandeep Sharma,RR,NA
9,WK,Sanju Samson,RR,NA
5,BAT,Aniket Verma,SRH,NA
6,BOWL,Eshan Malinga,SRH,NA
8,ALL,K Nitish Reddy,SRH,NA
6.5,BAT,Abhinav Manohar,SRH,NA
6.5,BAT,Atharva Taide,SRH,NA
6,BOWL,Simarjeet- Singh,SRH,NA
6.5,BOWL,Rahul Chahar,SRH,NA
8.5,ALL,Abhishek Sharma,SRH,NA
7,BAT,Kamindu Mendis,SRH,NA
7,ALL,Wiaan Mulder,SRH,NA
5.5,BOWL,Zeeshan Ansari,SRH,NA
8,WK,Ishan Kishan,SRH,NA
9,WK,Heinrich Klaasen,SRH,NA
6.5,BAT,Sachin Baby,SRH,NA
9,BAT,Travis Head,SRH,NA
7.5,BOWL,Adam Zampa,SRH,NA
8,BOWL,Harshal Patel,SRH,NA
8.5,BOWL,Pat Cummins,SRH,NA
8.5,BOWL,Mohammed Shami,SRH,NA
7,BOWL,Jaydev Unadkat,SRH,NA
