Season,Teams,Date,Stadium,Time
IPL 2008,"DELHI CAPITALS vs MUMBAI INDIANS, 50th match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2008,"DECCAN CHARGERS vs ROYAL CHALLENGERS BENGALURU, 51st match","May 25, Sun","Rajiv Gandhi International Stadium, Hyderabad",4:00 PM
IPL 2008,"KOLKATA KNIGHT RIDERS vs PUNJAB KINGS, 52nd match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2008,"RAJASTHAN ROYALS vs MUMBAI INDIANS, 53rd match","May 26, Mon","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2008,"DECCAN CHARGERS vs CHENNAI SUPER KINGS, 54th match","May 27, Tue","Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 55th match","May 28, Wed","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2008,"PUNJAB KINGS vs RAJASTHAN ROYALS, 56th match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2008,"DELHI CAPITALS vs RAJASTHAN ROYALS, 1st Semi-Final","May 30, Fri","Wankhede Stadium, Mumbai",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 2nd Semi-Final","May 31, Sat","Wankhede Stadium, Mumbai",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, Final","Jun 01, Sun","Dr DY Patil Sports Academy, Navi Mumbai",8:15 PM
IPL 2008,The Times of India,N/A,N/A,N/A
IPL 2008,The Times of India,N/A,N/A,N/A
IPL 2009,N/A,ALL,N/A,N/A
IPL 2009,N/A,N/A,N/A,N/A
IPL 2009,N/A,N/A,59 T20s . Apr 19 - May 23,N/A
IPL 2009,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 1st match",,"Newlands, Cape Town",4:00 PM
IPL 2009,N/A,N/A,N/A,N/A
IPL 2009,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 1st match","Apr 18, Sat","Newlands, Cape Town",4:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 2nd match",,"Newlands, Cape Town",8:40 PM
IPL 2009,"DELHI CAPITALS vs PUNJAB KINGS, 3rd match","Apr 19, Sun","Newlands, Cape Town",4:00 PM
IPL 2009,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 4th match",,"Newlands, Cape Town",10:20 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 5th match","Apr 20, Mon","St George's Park, Gqeberha",8:00 PM
IPL 2009,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 6th match","Apr 21, Tue","Kingsmead, Durban",4:00 PM
IPL 2009,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 7th match",,"Kingsmead, Durban",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 8th match","Apr 22, Wed","Newlands, Cape Town",8:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 9th match","Apr 23, Thu","Kingsmead, Durban",4:00 PM
IPL 2009,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 10th match",,"Newlands, Cape Town",8:15 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 11th match","Apr 24, Fri","Kingsmead, Durban",8:00 PM
IPL 2009,"DECCAN CHARGERS vs MUMBAI INDIANS, 12th match","Apr 25, Sat","Kingsmead, Durban",4:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 13th match",,"Newlands, Cape Town",8:15 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 14th match","Apr 26, Sun","St George's Park, Gqeberha",4:00 PM
IPL 2009,"PUNJAB KINGS vs RAJASTHAN ROYALS, 15th match",,"Newlands, Cape Town",8:15 PM
IPL 2009,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 16th match","Apr 27, Mon","Kingsmead, Durban",4:00 PM
IPL 2009,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 17th match",,"St George's Park, Gqeberha",8:15 PM
IPL 2009,"DELHI CAPITALS vs RAJASTHAN ROYALS, 18th match","Apr 28, Tue","SuperSport Park, Centurion",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 19th match","Apr 29, Wed","Kingsmead, Durban",4:00 PM
IPL 2009,"PUNJAB KINGS vs MUMBAI INDIANS, 20th match",,"Kingsmead, Durban",8:00 PM
IPL 2009,"DECCAN CHARGERS vs DELHI CAPITALS, 21st match","Apr 30, Thu","SuperSport Park, Centurion",4:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 22nd match",,"SuperSport Park, Centurion",8:00 PM
IPL 2009,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 23rd match","May 01, Fri","Buffalo Park, East London",4:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 24th match",,"Kingsmead, Durban",8:15 PM
IPL 2009,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 25th match","May 02, Sat","St George's Park, Gqeberha",4:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 26th match",,"The Wanderers Stadium, Johannesburg",8:15 PM
IPL 2009,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 27th match","May 03, Sun","St George's Park, Gqeberha",4:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 28th match",,"The Wanderers Stadium, Johannesburg",8:15 PM
IPL 2009,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 29th match","May 04, Mon","Buffalo Park, East London",8:00 PM
IPL 2009,"PUNJAB KINGS vs RAJASTHAN ROYALS, 30th match","May 05, Tue","Kingsmead, Durban",4:00 PM
IPL 2009,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 31st match",,"Kingsmead, Durban",8:00 PM
IPL 2009,"DECCAN CHARGERS vs MUMBAI INDIANS, 32nd match","May 06, Wed","SuperSport Park, Centurion",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 33rd match","May 07, Thu","SuperSport Park, Centurion",4:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 34th match",,"SuperSport Park, Centurion",8:00 PM
IPL 2009,"DELHI CAPITALS vs MUMBAI INDIANS, 35th match","May 08, Fri","Buffalo Park, East London",8:00 PM
IPL 2009,"DECCAN CHARGERS vs PUNJAB KINGS, 36th match","May 09, Sat","Diamond Oval, Kimberley",4:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 37th match",,"Diamond Oval, Kimberley",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 38th match","May 10, Sun","St George's Park, Gqeberha",4:00 PM
IPL 2009,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 39th match",,"The Wanderers Stadium, Johannesburg",8:15 PM
IPL 2009,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 40th match","May 11, Mon","Diamond Oval, Kimberley",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 41st match","May 12, Tue","SuperSport Park, Centurion",4:00 PM
IPL 2009,"PUNJAB KINGS vs MUMBAI INDIANS, 42nd match",,"SuperSport Park, Centurion",8:00 PM
IPL 2009,"DECCAN CHARGERS vs DELHI CAPITALS, 43rd match","May 13, Wed","Kingsmead, Durban",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 44th match","May 14, Thu","Kingsmead, Durban",4:00 PM
IPL 2009,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 45th match",,"Kingsmead, Durban",8:00 PM
IPL 2009,"DELHI CAPITALS vs PUNJAB KINGS, 46th match","May 15, Fri","Mangaung Oval, Bloemfontein",8:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 47th match","May 16, Sat","St George's Park, Gqeberha",4:00 PM
IPL 2009,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 48th match",,"The Wanderers Stadium, Johannesburg",8:15 PM
IPL 2009,"DECCAN CHARGERS vs PUNJAB KINGS, 49th match","May 17, Sun","The Wanderers Stadium, Johannesburg",4:00 PM
IPL 2009,"DELHI CAPITALS vs RAJASTHAN ROYALS, 50th match",,"Mangaung Oval, Bloemfontein",8:15 PM
IPL 2009,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 51st match","May 18, Mon","SuperSport Park, Centurion",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 52nd match","May 19, Tue","The Wanderers Stadium, Johannesburg",8:00 PM
IPL 2009,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 53rd match","May 20, Wed","Kingsmead, Durban",4:00 PM
IPL 2009,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 54th match",,"Kingsmead, Durban",8:00 PM
IPL 2009,"DELHI CAPITALS vs MUMBAI INDIANS, 55th match","May 21, Thu","SuperSport Park, Centurion",4:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 56th match",,"SuperSport Park, Centurion",8:00 PM
IPL 2009,"DELHI CAPITALS vs DECCAN CHARGERS, 1st Semi-Final","May 22, Fri","SuperSport Park, Centurion",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 2nd Semi-Final","May 23, Sat","The Wanderers Stadium, Johannesburg",8:00 PM
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, Final","May 24, Sun","The Wanderers Stadium, Johannesburg",8:00 PM
IPL 2009,The Times of India,N/A,N/A,N/A
IPL 2009,The Times of India,N/A,N/A,N/A
IPL 2010,N/A,ALL,N/A,N/A
IPL 2010,N/A,N/A,N/A,N/A
IPL 2010,N/A,N/A,60 T20s . Mar 13 - Apr 24,N/A
IPL 2010,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 1st match",,"Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2010,N/A,N/A,N/A,N/A
IPL 2010,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 1st match","Mar 12, Fri","Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2010,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 2nd match","Mar 13, Sat","Brabourne Stadium, Mumbai",3:00 PM
IPL 2010,"PUNJAB KINGS vs DELHI CAPITALS, 3rd match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2010,"KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU, 4th match","Mar 14, Sun","Eden Gardens, Kolkata",4:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 5th match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2010,"RAJASTHAN ROYALS vs DELHI CAPITALS, 6th match","Mar 15, Mon","Narendra Modi Stadium, Ahmedabad",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 7th match","Mar 16, Tue","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2010,"KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS, 8th match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2010,"DELHI CAPITALS vs MUMBAI INDIANS, 9th match","Mar 17, Wed","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 10th match","Mar 18, Thu","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2010,"DELHI CAPITALS vs CHENNAI SUPER KINGS, 11th match","Mar 19, Fri","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2010,"DECCAN CHARGERS vs PUNJAB KINGS, 12th match",,"Barabati Stadium, Cuttack",8:00 PM
IPL 2010,"RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 13th match","Mar 20, Sat","Narendra Modi Stadium, Ahmedabad",4:00 PM
IPL 2010,"MUMBAI INDIANS vs ROYAL CHALLENGERS BENGALURU, 14th match",,"Brabourne Stadium, Mumbai",8:00 PM
IPL 2010,"DECCAN CHARGERS vs DELHI CAPITALS, 15th match","Mar 21, Sun","Barabati Stadium, Cuttack",4:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 16th match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2010,"MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS, 17th match","Mar 22, Mon","Brabourne Stadium, Mumbai",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 18th match","Mar 23, Tue","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2010,"PUNJAB KINGS vs RAJASTHAN ROYALS, 19th match","Mar 24, Wed","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 20th match","Mar 25, Thu","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2010,"MUMBAI INDIANS vs CHENNAI SUPER KINGS, 21st match",,"Brabourne Stadium, Mumbai",8:00 PM
IPL 2010,"RAJASTHAN ROYALS vs DECCAN CHARGERS, 22nd match","Mar 26, Fri","Narendra Modi Stadium, Ahmedabad",8:00 PM
IPL 2010,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 23rd match","Mar 27, Sat","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2010,"RAJASTHAN ROYALS vs CHENNAI SUPER KINGS, 24th match","Mar 28, Sun","Narendra Modi Stadium, Ahmedabad",4:00 PM
IPL 2010,"DECCAN CHARGERS vs MUMBAI INDIANS, 25th match",,"Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2010,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 26th match","Mar 29, Mon","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2010,"MUMBAI INDIANS vs PUNJAB KINGS, 27th match","Mar 30, Tue","Brabourne Stadium, Mumbai",8:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, 28th match","Mar 31, Wed","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2010,"DELHI CAPITALS vs RAJASTHAN ROYALS, 29th match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2010,"KOLKATA KNIGHT RIDERS vs DECCAN CHARGERS, 30th match","Apr 01, Thu","Eden Gardens, Kolkata",8:00 PM
IPL 2010,"PUNJAB KINGS vs ROYAL CHALLENGERS BENGALURU, 31st match","Apr 02, Fri","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 32nd match","Apr 03, Sat","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2010,"MUMBAI INDIANS vs DECCAN CHARGERS, 33rd match",,"Brabourne Stadium, Mumbai",8:00 PM
IPL 2010,"KOLKATA KNIGHT RIDERS vs PUNJAB KINGS, 34th match","Apr 04, Sun","Eden Gardens, Kolkata",4:00 PM
IPL 2010,"DELHI CAPITALS vs ROYAL CHALLENGERS BENGALURU, 35th match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2010,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 36th match","Apr 05, Mon","Vidarbha Cricket Association Stadium, Nagpur",8:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 37th match","Apr 06, Tue","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2010,"RAJASTHAN ROYALS vs PUNJAB KINGS, 38th match","Apr 07, Wed","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2010,"KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 39th match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 40th match","Apr 08, Thu","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2010,"PUNJAB KINGS vs MUMBAI INDIANS, 41st match","Apr 09, Fri","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2010,"DECCAN CHARGERS vs CHENNAI SUPER KINGS, 42nd match","Apr 10, Sat","Vidarbha Cricket Association Stadium, Nagpur",4:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 43rd match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2010,"DELHI CAPITALS vs PUNJAB KINGS, 44th match","Apr 11, Sun","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2010,"RAJASTHAN ROYALS vs MUMBAI INDIANS, 45th match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2010,"DECCAN CHARGERS vs ROYAL CHALLENGERS BENGALURU, 46th match","Apr 12, Mon","Vidarbha Cricket Association Stadium, Nagpur",8:00 PM
IPL 2010,"MUMBAI INDIANS vs DELHI CAPITALS, 47th match","Apr 13, Tue","Brabourne Stadium, Mumbai",4:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 48th match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2010,"RAJASTHAN ROYALS vs ROYAL CHALLENGERS BENGALURU, 49th match","Apr 14, Wed","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 50th match","Apr 15, Thu","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2010,"PUNJAB KINGS vs DECCAN CHARGERS, 51st match","Apr 16, Fri","Himachal Pradesh Cricket Association Stadium, Dharamsala",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 52nd match","Apr 17, Sat","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2010,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 53rd match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2010,"PUNJAB KINGS vs CHENNAI SUPER KINGS, 54th match","Apr 18, Sun","Himachal Pradesh Cricket Association Stadium, Dharamsala",4:00 PM
IPL 2010,"DELHI CAPITALS vs DECCAN CHARGERS, 55th match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2010,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 56th match","Apr 19, Mon","Eden Gardens, Kolkata",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 1st Semi-Final","Apr 21, Wed","Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 2nd Semi-Final","Apr 22, Thu","Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 3rd Place Play-off","Apr 24, Sat","Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2010,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, Final","Apr 25, Sun","Dr DY Patil Sports Academy, Navi Mumbai",8:30 PM
IPL 2010,The Times of India,N/A,N/A,N/A
IPL 2010,The Times of India,N/A,N/A,N/A
IPL 2011,N/A,ALL,N/A,N/A
IPL 2011,N/A,N/A,N/A,N/A
